Technology,Count
SQL,604
JavaScript,489
PHP,457
HTML/CSS,398
Java,307
C#,239
C/C++,132
Android,83
Python,79
Sharepoint,43
Perl,41
Ruby,36
Objective-C,28
Windows Phone,17
Swift,16
Unity,10
Delphi/Pascal,5
VisualBasic,4
