Technology,Count
SQL,623
PHP,447
JavaScript,432
HTML/CSS,364
Java,299
C#,258
C/C++,146
Python,80
Android,79
Ruby,49
Perl,43
Sharepoint,41
Objective-C,28
Windows Phone,22
Swift,21
Unity,9
Delphi/Pascal,9
VisualBasic,7
