Technology,Count
SQL,615
JavaScript,482
HTML/CSS,418
PHP,383
Java,289
C#,285
C/C++,132
Android,96
Python,80
Ruby,46
Sharepoint,39
Perl,37
Objective-C,26
Windows Phone,16
Swift,11
VisualBasic,7
Delphi/Pascal,6
Unity,4
