Technology,Count
SQL,600
PHP,504
JavaScript,498
HTML/CSS,406
Java,332
C#,277
C/C++,150
Python,91
Android,82
Perl,53
Sharepoint,42
Ruby,38
Objective-C,21
Windows Phone,18
Delphi/Pascal,16
Swift,10
VisualBasic,9
Unity,8
