Technology,Count
SQL,665
JavaScript,571
PHP,567
HTML/CSS,458
Java,353
C#,263
C/C++,146
Python,127
Android,70
Perl,58
Sharepoint,41
Ruby,38
Objective-C,25
Swift,18
VisualBasic,12
Delphi/Pascal,11
Windows Phone,8
Unity,6
