Technology,Count
SQL,595
JavaScript,454
HTML/CSS,392
PHP,391
Java,291
C#,263
C/C++,125
Python,87
Android,81
Ruby,44
Perl,42
Sharepoint,41
Objective-C,22
Windows Phone,12
Swift,12
Delphi/Pascal,11
VisualBasic,8
Unity,3
