Technology,Count
SQL,629
JavaScript,484
HTML/CSS,421
PHP,414
Java,293
C#,283
C/C++,132
Python,92
Android,81
Ruby,50
Sharepoint,46
Perl,45
Objective-C,22
Windows Phone,12
Swift,11
Delphi/Pascal,9
VisualBasic,6
Unity,3
