Technology,Count
SQL,636
JavaScript,493
HTML/CSS,428
PHP,420
Java,300
C#,293
C/C++,135
Python,90
Android,86
Ruby,50
Sharepoint,47
Perl,43
Objective-C,26
Windows Phone,13
Swift,12
VisualBasic,7
Delphi/Pascal,5
Unity,4
