Technology,Count
SQL,621
JavaScript,487
HTML/CSS,418
PHP,386
C#,286
Java,283
C/C++,134
Android,93
Python,84
Ruby,47
Sharepoint,42
Perl,39
Objective-C,26
Windows Phone,17
Swift,11
VisualBasic,8
Delphi/Pascal,6
Unity,4
