Technology,Count
SQL,629
JavaScript,492
HTML/CSS,421
PHP,390
Java,290
C#,289
C/C++,137
Android,95
Python,83
Ruby,49
Sharepoint,44
Perl,39
Objective-C,26
Windows Phone,17
Swift,11
VisualBasic,8
Delphi/Pascal,6
Unity,4
