Technology,Count
SQL,712
PHP,533
JavaScript,525
HTML/CSS,457
Java,345
C#,306
C/C++,172
Android,106
Python,90
Perl,54
Sharepoint,49
Ruby,41
Objective-C,36
Windows Phone,26
Swift,19
Delphi/Pascal,11
Unity,8
VisualBasic,6
