Technology,Count
SQL,484
PHP,370
JavaScript,354
HTML/CSS,273
Java,261
C#,198
Python,90
C/C++,83
Android,50
Ruby,35
Perl,28
Sharepoint,27
Objective-C,15
Swift,12
Delphi/Pascal,10
Unity,9
VisualBasic,5
Windows Phone,2
