Technology,Count
SQL,639
PHP,435
JavaScript,434
HTML/CSS,392
Java,304
C#,293
C/C++,142
Python,83
Android,82
Ruby,48
Sharepoint,39
Perl,38
Objective-C,35
Windows Phone,14
VisualBasic,13
Swift,13
Unity,11
Delphi/Pascal,4
