Technology,Count
SQL,709
PHP,592
JavaScript,583
HTML/CSS,445
Java,398
C#,288
Python,146
C/C++,144
Android,84
Ruby,53
Perl,40
Sharepoint,35
Swift,27
Objective-C,26
VisualBasic,11
Windows Phone,10
Unity,10
Delphi/Pascal,9
