Technology,Count
SQL,640
JavaScript,482
PHP,477
HTML/CSS,423
Java,302
C#,266
C/C++,139
Android,97
Python,68
Perl,49
Ruby,44
Sharepoint,39
Objective-C,33
Windows Phone,25
Swift,12
Delphi/Pascal,12
Unity,8
VisualBasic,5
