Technology,Count
SQL,623
JavaScript,481
HTML/CSS,411
PHP,397
Java,292
C#,282
C/C++,137
Android,93
Python,87
Ruby,49
Sharepoint,44
Perl,40
Objective-C,26
Windows Phone,15
Swift,11
VisualBasic,6
Delphi/Pascal,5
Unity,3
