Technology,Count
Java,170
C#,144
PHP,115
JavaScript,99
Python,57
C/C++,37
Android,36
SQL,27
HTML/CSS,8
Delphi/Pascal,7
Sharepoint,7
Ruby,6
Swift,2
Unity,2
Perl,1
