Technology,Count
SQL,634
JavaScript,425
PHP,403
HTML/CSS,377
Java,317
C#,298
C/C++,156
Python,84
Android,65
Ruby,45
Sharepoint,42
Perl,39
Objective-C,28
VisualBasic,11
Swift,10
Windows Phone,9
Unity,9
Delphi/Pascal,8
