Technology,Count
SQL,618
JavaScript,463
HTML/CSS,410
PHP,383
Java,286
C#,279
C/C++,140
Android,93
Python,78
Ruby,46
Perl,37
Sharepoint,34
Objective-C,25
Windows Phone,12
Swift,11
VisualBasic,8
Delphi/Pascal,7
Unity,4
