Technology,Count
SQL,611
PHP,447
JavaScript,440
HTML/CSS,371
Java,292
C#,264
C/C++,149
Android,91
Python,84
Ruby,48
Sharepoint,41
Perl,40
Objective-C,32
Windows Phone,24
Swift,19
Delphi/Pascal,9
Unity,8
VisualBasic,6
