Technology,Count
SQL,632
JavaScript,471
PHP,422
HTML/CSS,415
Java,314
C#,282
C/C++,131
Python,88
Android,79
Sharepoint,50
Perl,42
Ruby,40
Objective-C,24
Windows Phone,12
Delphi/Pascal,11
Swift,10
VisualBasic,6
Unity,4
