Technology,Count
SQL,595
PHP,468
JavaScript,463
HTML/CSS,349
Java,324
C#,242
Python,133
C/C++,122
Android,67
Perl,46
Ruby,38
Sharepoint,32
Swift,16
Objective-C,15
VisualBasic,8
Unity,8
Delphi/Pascal,6
Windows Phone,1
