Technology,Count
SQL,617
JavaScript,457
PHP,399
HTML/CSS,397
Java,308
C#,271
C/C++,125
Python,91
Android,83
Ruby,46
Perl,44
Sharepoint,42
Objective-C,23
Windows Phone,15
Swift,13
Delphi/Pascal,11
VisualBasic,7
Unity,3
