Technology,Count
SQL,554
JavaScript,406
PHP,403
HTML/CSS,341
Java,285
C#,243
C/C++,140
Android,89
Python,75
Sharepoint,41
Perl,39
Ruby,38
Objective-C,27
Windows Phone,24
Swift,23
Delphi/Pascal,7
VisualBasic,6
Unity,5
