Technology,Count
SQL,608
JavaScript,448
PHP,409
HTML/CSS,387
Java,315
C#,271
C/C++,136
Python,85
Android,73
Sharepoint,44
Ruby,42
Perl,39
Objective-C,26
Delphi/Pascal,14
Windows Phone,11
Swift,9
VisualBasic,7
Unity,4
